Crop	Crop2	pH.min	pH.max	N.min	N.max	Plow.cutoff	Pmed.cutoff	Phigh.cutoff	Pvhigh.cutoff	Plow.test	Pmed.test	Phigh.test	Pvhigh.test	Pabove.test	Plow.rate	Pmed.rate	Phigh.rate	Pvhigh.rate	Pabove.rate	Klow.cutoff	Kmed.cutoff	Khigh.cutoff	Kvhigh.cutoff	Klow.test	Kmed.test	Khigh.test	Kvhigh.test	Kabove.test	Klow.rate	Kmed.rate	Khigh.rate	Kvhigh.rate	Kabove.rate	Slow.cutoff	Smed.cutoff	Shigh.cutoff	Slow.test	Smed.test	Shigh.test	Svhigh.test	Slow.rate	Smed.rate	Shigh.rate	Svhigh.rate	S.singlerate	Mg.cutoff	Mg.rate	Reference
Cucumber	Cucumber	5.8	7	80	150	15	60			0-15	16-60	>60			120-150	90-120	60-90			75	150	200		0-75	76-150	151-200	>200		100-150	60-100	40-60	0													20-30	1.5	10-15	http://horticulture.oregonstate.edu/content/cucumbers-pickling
Field peas	Field peas	5.6		0	0	15	30			0-15	16-30	>30			60-80	40-60	0			75	150			0-75	76-150	>150			80-100	60-80	0														15-20			"Crimson Clover, Vetch, Field Peas: Western Oregon—West of Cascades Fertilizer Guide (2000) E.H. Gardner et al., Oregon State Univ. Extension Service Fertilizer Guide, FG 30"
Green or snap beans	Green or snap beans	5.8		50	110	15	60			0-15	16-60	>60			120-150	90-120	60-90			75	150	200		0-75	76-150	151-200	>200		90-120	60-90	40-60	0													20-30	1.5	10-15	http://horticulture.oregonstate.edu/content/beans-snap-green-romano-yellow-wax
Hops	Hops	5.7		100	150	30	60			0-30	31-60	>60			60-100	0-60	0			100	200			0-100	101-200	>200			80-120	0-80	0														30-40	1	10-15	"Hops Fertilizer Guide (1994) G. Gingrich et al., Oregon state State University Extension Service, FG 79 (https://catalog.extension.oregonstate.edu/fg79)"
Lettuce	Lettuce	6		75	100	30	40			0-30	31-40	>40			100-200	40-100	0-40			100	150			0-100	101-150	>150			110-200	70-110	0																	California Dept of Food and Agriculture http://apps.cdfa.ca.gov/frep/docs/Lettuce.html
Melon	Melon	5.8		80	150	15	60			0-15	16-60	>60			120-150	90-120	60-90			75	150	200		0-75	76-150	151-200	>200		100-150	60-100	40-60	0													20-30	1.5	10-15	http://horticulture.oregonstate.edu/content/melons-cantaloupe-muskmelon-honeydew-crenshaw-casaba-etc-0
Onions	Onions	6				5	10	15		0-5	5-10	10-15	>15		160-280	100-220	0-100	0		50	100			0-50	51-100	>100			240	120	0																	"Nutrient Management for Onions in the Pacific Northwest (2001) D.M. Sullivan et al., Extension Publication PNW546, Washington State Univ, Oregon State Univ, Univ of Idaho"
"Pasture, established (West Side)"	Pasture established west side	5.4		100	180	15	30			0-15	16-30	>30			60-100	0-60	0			125	200			0-125	126-200	>200			100-150	70-100	0														20-30			"Pastures: Western Oregon and Western Washington (2000) J. Hart et al., Oregon State Univ. FG 63 (http://ir.library.oregonstate.edu/xmlui/bitstream/handle/1957/20636/fg63-e.pdf)"
"Pasture, new seeding (West Side)"	Pasture new seeding west side	5.4		20	40	15	30			0-15	16-30	>30			60-100	0-60	0			125	200			0-125	126-200	>200			100-150	70-100	0														20-30			"Pastures: Western Oregon and Western Washington (2000) J. Hart et al., Oregon State Univ. FG 63 (http://ir.library.oregonstate.edu/xmlui/bitstream/handle/1957/20636/fg63-e.pdf)"
"Peas, shelled (West Side)"	Peas shelled west side	6		20	30	15	60			0-15	16-60	>60			120-150	80-120	40-80			75	150	200		0-75	76-150	151-200	>200		90-120	60-90	40-60	0													20-30	0.5	10-15	http://horticulture.oregonstate.edu/content/peas-western-oregon-0
"Peas, shelled (East Side)"	Peas shelled east side	6		15	20	10	20			0-10	10-20	>20			40-120	0-60	0			75	150	200		0-75	76-150	151-200	>200		90-120	60-90	40-60	0													20-30			http://horticulture.oregonstate.edu/content/peas-processing-eastern-oregon-0
"Perennial Ryegrass, established"	Perennial ryegrass established	5.5		120	160	15	25			0-15	16-25	>25			30-40	0-30	0			50	100	150		0-50	51-100	101-150	>150		100-200	50-150	0-75	0													15-25			"Perennial Ryegrass Grown for Seed (Western Oregon) (2013) Hart et al., Oregon State Univ Extension Service Nutrient Management Guide EM9086"
"Perennial Ryegrass, new seeding"	Perennial ryegrass new seeding	5.5		20	40	15	25			0-15	16-25	>25			40-60	30-40	0			50	100	150		0-50	51-100	101-150	>150		200-250	100-200	30-40	0													15-25			"Perennial Ryegrass Grown for Seed (Western Oregon) (2013) Hart et al., Oregon State Univ Extension Service Nutrient Management Guide EM9086"
Potatoes (East Side)	Potatoes east side	5.5				6	12	20		0-6	6-9	7-12	13-20	>20	200-300	160-200	115-160	70-115	0	60	180	240		0-60	61-120	121-180	181-240	>240	480	360-480	240-360	120-240	0												0-40			"Potato Nutrient Management for Central Washington (1999) N.S. Lang et al., Washington State Univ. Cooperative Extension, EB 1871"
Radish	Radish	6	7	130	150	15	60			0-15	16-60	>60			130-150	130-150	0			100	200			0-100	101-200	>200			125-150	100-125	0														30-50			http://horticulture.oregonstate.edu/content/radish-0
"Raspberries, established"	Raspberries established	5.6	6.5	40	60	20	40			0-20	21-40	>40			60-80	0-60	0			150	350			0-150	151-350	>350			60-100	40-60	0														0-40			"Caneberries Nutrient Management Guide (2006) Hart et al., Oregon State University Extension Service, Nutrient Management Guide EM 8903 (https://catalog.extension.oregonstate.edu/em8903)"
Spinach	Spinach	6	7	60	100	15	60			0-15	16-60	>60			125-150	100-125	0			100	200			0-100	101-200	>200			100-150	50-100	0																	http://horticulture.oregonstate.edu/content/spinach-0
"Squash, winter"	Squash winter	5.8	8	80	150	15	60			0-15	16-60	>60			120-150	90-120	60-90			75	150	200		0-75	76-150	151-200	>200		100-150	60-100	40-60	0													20-30	1.5	10-15	http://horticulture.oregonstate.edu/content/squash-pumpkin-and-winter
Sweet corn	Sweet corn	5.8	7	30	150	15	50			0-15	16-50	>50			120-150	60-120	0			100	200			0-100	101-200	>200			90-150	60-100	40-60	0																http://horticulture.oregonstate.edu/content/corn-sweet-processing
Table beets	Table beets	5.8		130	170	25	50			0-25	26-50	>50			120-150	70-120	50-70			75	150	225		0-75	76-150	151-225	>225		120-150	80-120	60-80	0													15-20			http://horticulture.oregonstate.edu/content/beets-and-chard
"Tall fescue, established"	Tall fescue established	5.5		100	140	15	25			0-15	16-25	>25			30-40	0-30	0			50	100	150		0-50	51-100	101-150	>150		100-200	50-150	0-75	0													15-25			"Tall Fescue Grown for Seed: A nutrient management guide for western Oregon (2014) N. Anderson et al., Oregon State Univ Extension Service Nutrient Management Guide EM9099"
"Tall fescue, new seeding"	Tall fescue new seeding	5.5		20	40	15	25			0-20	21-40	>40			40-60	30-40	0			50	100	150		0-50	51-100	101-150	>150		200-250	100-200	30-40	0													15-25			"Tall Fescue Grown for Seed: A nutrient management guide for western Oregon (2014) N. Anderson et al., Oregon State Univ Extension Service Nutrient Management Guide EM9099"
"Winter wheat (East side, high precip)"	Winter wheat east side high precip	5.5				5	10	15		0-5	6-10	11-15	>15		30-40	20-30	0-20	0		100	200			0-100	101-200	>200			0	0	0														0-20			"Winter Wheat in Continuous Cropping Systems (High precipitation zone) (2007) L.K. Lutcher et al., Oregon State Univ Extension Service, FG 84"
"Winter wheat (East side, intermediate precip)"	Winter wheat east side intermediate precip	5.5				5	10	15		0-5	6-10	11-15	>15		25-35	15-25	5-15	0		100	200			0-100	101-200	>200			0	0	0														0-20			"Winter Wheat in Summer-Fallow Systems (Intermediate precipitation zone) (2007) L.K. Lutcher et al., Oregon State Univ Extension Service, FG 82"
"Winter wheat (East side, low precip)"	Winter wheat east side low precip	5.5				5	10	15		0-5	6-10	11-15	>15		20-30	10-20	0-10	0		100	200			0-100	101-200	>200			0	0	0														0-15			"Winter Wheat in Summer-Fallow Systems (Low precipitation zone) (2007) L.K. Lutcher et al., Oregon State Univ Extension Service, FG 80 and Winter Wheat and Spring Grains in Continuous Cropping Systems (Low precipitation zone) (2007) L.K. Lutcher et al., Oregon State Univ Extension Service, FG 84"
Winter wheat (West side)	Winter wheat west side	5.5				20	30			0-20	21-30	>30			40-60	30-40	0			75	100			0-75	76-150	>150			60-100	30-60	0														10-15	0.5	10-15	"Soft White Winter Wheat (Western Oregon) Nutrient Management Guide (2011) J.M. Hart et al., Oregon State Univ Extension Service EM 8963 (https://catalog.extension.oregonstate.edu/em8963)"
Vetch	Vetch	5.6		0	0	15	30			0-15	16-30	>30			60-80	40-60	0			75	150			0-75	76-150	>150			80-100	60-80	0														15-20			"Crimson Clover, Vetch, Field Peas: Western Oregon—West of Cascades Fertilizer Guide (2000) E.H. Gardner et al., Oregon State Univ. Extension Service Fertilizer Guide, FG 30"
